#,Name,     Type     ,Initial Value [Unit],Expression [Unit] or [Unit/s]
37,Free_Cam_Ca1_total,assignment,0,Values[Free_CamR_Ca1_total]+Values[Free_CamT_Ca1_total]
38,Free_Cam_Ca2_total,assignment,0.00E+00,Values[Free_CamR_Ca2_total]+Values[Free_CamT_Ca2_total]
39,Free_Cam_Ca3_total,assignment,0,Values[Free_CamR_Ca3_total]+Values[Free_CamT_Ca3_total]
40,Free_Cam_Ca4_total,assignment,0.00E+00,[CamR_Ca4_ABCD]+[CamT_Ca4_ABCD]
41,Free_CamR_Ca1_total,assignment,0,[CamR_Ca1_A]+[CamR_Ca1_B]+[CamR_Ca1_C]+[CamR_Ca1_D]
42,Free_CamR_Ca2_total,assignment,0,[CamR_Ca2_AB]+[CamR_Ca2_AC]+[CamR_Ca2_AD]+[CamR_Ca2_BC]+[CamR_Ca2_BD]+[CamR_Ca2_CD]
43,Free_CamR_Ca3_total,assignment,0,[CamR_Ca3_ABC]+[CamR_Ca3_ABD]+[CamR_Ca3_ACD]+[CamR_Ca3_BCD]
44,Free_CamT_Ca1_total,assignment,0,[CamT_Ca1_A]+[CamT_Ca1_B]+[CamT_Ca1_C]+[CamT_Ca1_D]
45,Free_CamT_Ca2_total,assignment,0,[CamT_Ca2_AB]+[CamT_Ca2_AC]+[CamT_Ca2_AD]+[CamT_Ca2_BC]+[CamT_Ca2_BD]+[CamT_Ca2_CD]
46,Free_CamT_Ca3_total,assignment,0,[CamT_Ca3_ABC]+[CamT_Ca3_ABD]+[CamT_Ca3_ACD]+[CamT_Ca3_BCD]
47,moles_bound_Ca_per_moles_Cam,assignment,0,(4*Values[Cam_Ca4_total]+3*Values[Cam_Ca3_total]+2*Values[Cam_Ca2_total]+Values[Cam_Ca1_total])/Values[Cam_total]
48,PKA_bar,assignment,0.01,Values[PKA_inmodel]/Values[PKA_total]
49,PKA_inmodel,assignment,1.20E-08,[PKA]+[D_PKA]
50,PP1a_bar,assignment,1,Values[PP1a_total]/Values[PP1_total]
51,Dp/0_PP2B_CamR_Ca1,assignment,0,[CamR_Ca1_A_PP2B]+[CamR_Ca1_B_PP2B]+[CamR_Ca1_C_PP2B]+[CamR_Ca1_D_PP2B]+[Dp_CamR_Ca1_A_PP2B]+[Dp_CamR_Ca1_B_PP2B]+[Dp_CamR_Ca1_C_PP2B]+[Dp_CamR_Ca1_D_PP2B]
52,Dp/0_PP2B_CamR_Ca2,assignment,0.00E+00,[CamR_Ca2_AB_PP2B]+[CamR_Ca2_AC_PP2B]+[CamR_Ca2_AD_PP2B]+[CamR_Ca2_BC_PP2B]+[CamR_Ca2_BD_PP2B]+[CamR_Ca2_CD_PP2B]+[Dp_CamR_Ca2_AB_PP2B]+[Dp_CamR_Ca2_AC_PP2B]+[Dp_CamR_Ca2_AD_PP2B]+[Dp_CamR_Ca2_BC_PP2B]+[Dp_CamR_Ca2_BD_PP2B]+[Dp_CamR_Ca2_CD_PP2B]
53,Dp/0_PP2B_CamR_Ca3,assignment,0,[CamR_Ca3_ABC_PP2B]+[CamR_Ca3_ABD_PP2B]+[CamR_Ca3_ACD_PP2B]+[CamR_Ca3_BCD_PP2B]+[Dp_CamR_Ca3_ABC_PP2B]+[Dp_CamR_Ca3_ABD_PP2B]+[Dp_CamR_Ca3_ACD_PP2B]+[Dp_CamR_Ca3_BCD_PP2B]
54,PP2B_bar,assignment,0,Values[PP2B_bound_total]/Values[PP2B_total]
55,CamR_ratio,assignment,1.45E-05,Values[CamR_total]/(Values[CamR_total]+Values[CamT_total])
56,CaMKII_bound_total,assignment,0,[CamR_CaMKII]+Values[CaMKII_CamR_Ca1_total]+Values[CaMKII_CamR_Ca2_total]+Values[CaMKII_CamR_Ca3_total]+[CamR_Ca4_ABCD_CaMKII]+[CamR_CaMKIIp]+[CamR_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKIIp]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]
57,CaMKIIp_total,assignment,0,[CaMKIIp]+[CaMKIIp_PP1a]+[CamR_CaMKIIp]+[CamR_CaMKIIp_PP1a]+[CamR_Ca1_A_CaMKIIp]+[CamR_Ca1_B_CaMKIIp]+[CamR_Ca1_C_CaMKIIp]+[CamR_Ca1_D_CaMKIIp]+[CamR_Ca1_A_CaMKIIp_PP1a]+[CamR_Ca1_B_CaMKIIp_PP1a]+[CamR_Ca1_C_CaMKIIp_PP1a]+[CamR_Ca1_D_CaMKIIp_PP1a]+[CamR_Ca2_AB_CaMKIIp]+[CamR_Ca2_AC_CaMKIIp]+[CamR_Ca2_AD_CaMKIIp]+[CamR_Ca2_BC_CaMKIIp]+[CamR_Ca2_BD_CaMKIIp]+[CamR_Ca2_CD_CaMKIIp]+[CamR_Ca2_AB_CaMKIIp_PP1a]+[CamR_Ca2_AC_CaMKIIp_PP1a]+[CamR_Ca2_AD_CaMKIIp_PP1a]+[CamR_Ca2_BC_CaMKIIp_PP1a]+[CamR_Ca2_BD_CaMKIIp_PP1a]+[CamR_Ca2_CD_CaMKIIp_PP1a]+[CamR_Ca3_ABC_CaMKIIp]+[CamR_Ca3_ABD_CaMKIIp]+[CamR_Ca3_ACD_CaMKIIp]+[CamR_Ca3_BCD_CaMKIIp]+[CamR_Ca3_ABC_CaMKIIp_PP1a]+[CamR_Ca3_ABD_CaMKIIp_PP1a]+[CamR_Ca3_ACD_CaMKIIp_PP1a]+[CamR_Ca3_BCD_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKIIp]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]
58,PP2B_bound_total,assignment,0,[CamR_PP2B]+Values[Dp/0_PP2B_CamR_Ca1]+Values[Dp/0_PP2B_CamR_Ca2]+Values[Dp/0_PP2B_CamR_Ca3]+[CamR_Ca4_ABCD_PP2B]+[Dp_CamR_PP2B]+[Dp_CamR_Ca4_ABCD_PP2B]
