,C1P1,C1P2,C1P3,C2P1,C2P2,C2P3,C3P1,C3P2,C3P3,Time
45000,0.26023,0.272543,0.286335,0.21879200000000001,0.23023600000000002,0.250654,0.152945,0.163759,0.175504,45.0
46000,0.25945999999999997,0.27210100000000004,0.28632199999999997,0.21799200000000002,0.22966,0.250325,0.152392,0.163425,0.175438,46.0
47000,0.258721,0.27169899999999997,0.286364,0.217207,0.22910100000000003,0.250066,0.151835,0.16308499999999998,0.17536600000000002,47.0
48000,0.258013,0.271338,0.286461,0.21643800000000002,0.228557,0.24971100000000002,0.151276,0.16274,0.175288,48.0
49000,0.257335,0.271018,0.286613,0.215685,0.22803,0.249448,0.15071500000000002,0.162391,0.175205,49.0
50000,0.256686,0.270737,0.286821,0.21494699999999997,0.227519,0.24913000000000002,0.150153,0.16203900000000002,0.175118,50.0
51000,0.256064,0.270496,0.287085,0.21422399999999997,0.22702399999999998,0.248802,0.149591,0.161683,0.175027,51.0
52000,0.25547,0.270295,0.287406,0.213515,0.22654499999999997,0.24854600000000002,0.149029,0.161326,0.174933,52.0
53000,0.25490300000000005,0.270133,0.287783,0.212821,0.22608000000000003,0.24819699999999997,0.14846800000000002,0.160966,0.174836,53.0
54000,0.25436,0.270011,0.28821599999999997,0.21214,0.225631,0.247943,0.14790699999999998,0.160605,0.174736,54.0
55000,0.253843,0.269927,0.288707,0.211472,0.225196,0.247637,0.147349,0.160243,0.17463299999999998,55.0
56000,0.253349,0.269883,0.289254,0.210817,0.22477600000000003,0.247322,0.146793,0.15988,0.174529,56.0
57000,0.252879,0.269877,0.28985900000000003,0.210175,0.22436999999999999,0.24708200000000002,0.146239,0.15951700000000002,0.174424,57.0
58000,0.252432,0.269911,0.29052100000000003,0.209544,0.223977,0.24675100000000003,0.14568699999999998,0.159154,0.174317,58.0
59000,0.25200700000000004,0.269984,0.29124099999999997,0.20892600000000003,0.223598,0.24651700000000001,0.14513900000000002,0.15879200000000002,0.174209,59.0
60000,0.251603,0.270096,0.292018,0.20831799999999998,0.223232,0.24623299999999998,0.144595,0.158429,0.174101,60.0
61000,0.251221,0.270248,0.292852,0.20772100000000002,0.22287800000000002,0.245942,0.144054,0.15806800000000001,0.173992,61.0
