#,Name,Reaction,Rate Law
274,Ca dissociating from CamR_Ca3_ACD_CamKII site A,CamR_Ca3_ACD_CaMKII -> CamR_Ca2_CD_CaMKII + Ca,Mass action (irreversible)
275,Ca dissociating from CamR_Ca3_BCD_CamKII site D,CamR_Ca3_BCD_CaMKII -> CamR_Ca2_BC_CaMKII + Ca,Mass action (irreversible)
276,Ca dissociating from CamR_Ca3_BCD_CamKII site C,CamR_Ca3_BCD_CaMKII -> CamR_Ca2_BD_CaMKII + Ca,Mass action (irreversible)
277,Ca dissociating from CamR_Ca3_BCD_CamKII site B,CamR_Ca3_BCD_CaMKII -> CamR_Ca2_CD_CaMKII + Ca,Mass action (irreversible)
278,Ca binding to CamR_Ca3_BCD_CamKII site A,CamR_Ca3_BCD_CaMKII + Ca -> CamR_Ca4_ABCD_CaMKII,Mass action (irreversible)
279,Ca binding to CamR_Ca3_ACD_CamKII site B,CamR_Ca3_ACD_CaMKII + Ca -> CamR_Ca4_ABCD_CaMKII,Mass action (irreversible)
280,Ca binding to CamR_Ca3_ABD_CamKII site C,CamR_Ca3_ABD_CaMKII + Ca -> CamR_Ca4_ABCD_CaMKII,Mass action (irreversible)
281,Ca binding to CamR_Ca3_ABC_CamKII site D,CamR_Ca3_ABC_CaMKII + Ca -> CamR_Ca4_ABCD_CaMKII,Mass action (irreversible)
282,Ca dissociating from CamR_Ca4_ABCD_CamKII site A,CamR_Ca4_ABCD_CaMKII -> CamR_Ca3_BCD_CaMKII + Ca,Mass action (irreversible)
283,Ca dissociating from CamR_Ca4_ABCD_CamKII site B,CamR_Ca4_ABCD_CaMKII -> CamR_Ca3_ACD_CaMKII + Ca,Mass action (irreversible)
284,Ca dissociating from CamR_Ca4_ABCD_CamKII site C,CamR_Ca4_ABCD_CaMKII -> CamR_Ca3_ABD_CaMKII + Ca,Mass action (irreversible)
285,Ca dissociating from CamR_Ca4_ABCD_CamKII site D,CamR_Ca4_ABCD_CaMKII -> CamR_Ca3_ABC_CaMKII + Ca,Mass action (irreversible)
286,Ca binding to CamR_PP2B site A,CamR_PP2B + Ca -> CamR_Ca1_A_PP2B,Mass action (irreversible)
287,Ca binding to CamR_PP2B site B,CamR_PP2B + Ca -> CamR_Ca1_B_PP2B,Mass action (irreversible)
288,Ca binding to CamR_PP2B site C,CamR_PP2B + Ca -> CamR_Ca1_C_PP2B,Mass action (irreversible)
289,Ca binding to CamR_PP2B site D,CamR_PP2B + Ca -> CamR_Ca1_D_PP2B,Mass action (irreversible)
290,Ca dissociating from CamR_Ca1_A_PP2B site A,CamR_Ca1_A_PP2B -> CamR_PP2B + Ca,Mass action (irreversible)
291,Ca dissociating from CamR_Ca1_B_PP2B site B,CamR_Ca1_B_PP2B -> CamR_PP2B + Ca,Mass action (irreversible)
292,Ca dissociating from CamR_Ca1_C_PP2B site C,CamR_Ca1_C_PP2B -> CamR_PP2B + Ca,Mass action (irreversible)
293,Ca dissociating from CamR_Ca1_D_PP2B site D,CamR_Ca1_D_PP2B -> CamR_PP2B + Ca,Mass action (irreversible)
294,Ca binding to CamR_Ca1_A_PP2B site B,CamR_Ca1_A_PP2B + Ca -> CamR_Ca2_AB_PP2B,Mass action (irreversible)
295,Ca binding to CamR_Ca1_A_PP2B site C,CamR_Ca1_A_PP2B + Ca -> CamR_Ca2_AC_PP2B,Mass action (irreversible)
296,Ca binding to CamR_Ca1_A_PP2B site D,CamR_Ca1_A_PP2B + Ca -> CamR_Ca2_AD_PP2B,Mass action (irreversible)
297,Ca binding to CamR_Ca1_B_PP2B site A,CamR_Ca1_B_PP2B + Ca -> CamR_Ca2_AB_PP2B,Mass action (irreversible)
298,Ca binding to CamR_Ca1_B_PP2B site C,CamR_Ca1_B_PP2B + Ca -> CamR_Ca2_BC_PP2B,Mass action (irreversible)
299,Ca binding to CamR_Ca1_B_PP2B site D,CamR_Ca1_B_PP2B + Ca -> CamR_Ca2_BD_PP2B,Mass action (irreversible)
300,Ca binding to CamR_Ca1_C_PP2B site A,CamR_Ca1_C_PP2B + Ca -> CamR_Ca2_AC_PP2B,Mass action (irreversible)
301,Ca binding to CamR_Ca1_C_PP2B site B,CamR_Ca1_C_PP2B + Ca -> CamR_Ca2_BC_PP2B,Mass action (irreversible)
302,Ca binding to CamR_Ca1_C_PP2B site D,CamR_Ca1_C_PP2B + Ca -> CamR_Ca2_CD_PP2B,Mass action (irreversible)
303,Ca binding to CamR_Ca1_D_PP2B site A,CamR_Ca1_D_PP2B + Ca -> CamR_Ca2_AD_PP2B,Mass action (irreversible)
304,Ca binding to CamR_Ca1_D_PP2B site B,CamR_Ca1_D_PP2B + Ca -> CamR_Ca2_BD_PP2B,Mass action (irreversible)
305,Ca binding to CamR_Ca1_D_PP2B site C,CamR_Ca1_D_PP2B + Ca -> CamR_Ca2_CD_PP2B,Mass action (irreversible)
306,Ca dissociating from CamR_Ca2_AB_PP2B site A,CamR_Ca2_AB_PP2B -> CamR_Ca1_B_PP2B + Ca,Mass action (irreversible)
307,Ca dissociating from CamR_Ca2_AB_PP2B site B,CamR_Ca2_AB_PP2B -> CamR_Ca1_A_PP2B + Ca,Mass action (irreversible)
308,Ca dissociating from CamR_Ca2_AC_PP2B site A,CamR_Ca2_AC_PP2B -> CamR_Ca1_C_PP2B + Ca,Mass action (irreversible)
309,Ca dissociating from CamR_Ca2_AC_PP2B site C,CamR_Ca2_AC_PP2B -> CamR_Ca1_A_PP2B + Ca,Mass action (irreversible)
310,Ca dissociating from CamR_Ca2_AD_PP2B site A,CamR_Ca2_AD_PP2B -> CamR_Ca1_D_PP2B + Ca,Mass action (irreversible)
311,Ca dissociating from CamR_Ca2_AD_PP2B site D,CamR_Ca2_AD_PP2B -> CamR_Ca1_A_PP2B + Ca,Mass action (irreversible)
312,Ca dissociating from CamR_Ca2_BC_PP2B site B,CamR_Ca2_BC_PP2B -> CamR_Ca1_C_PP2B + Ca,Mass action (irreversible)
313,Ca dissociating from CamR_Ca2_BC_PP2B site C,CamR_Ca2_BC_PP2B -> CamR_Ca1_B_PP2B + Ca,Mass action (irreversible)
314,Ca dissociating from CamR_Ca2_BD_PP2B site B,CamR_Ca2_BD_PP2B -> CamR_Ca1_D_PP2B + Ca,Mass action (irreversible)
315,Ca dissociating from CamR_Ca2_BD_PP2B site D,CamR_Ca2_BD_PP2B -> CamR_Ca1_B_PP2B + Ca,Mass action (irreversible)
316,Ca dissociating from CamR_Ca2_CD_PP2B site C,CamR_Ca2_CD_PP2B -> CamR_Ca1_D_PP2B + Ca,Mass action (irreversible)
317,Ca dissociating from CamR_Ca2_CD_PP2B site D,CamR_Ca2_CD_PP2B -> CamR_Ca1_C_PP2B + Ca,Mass action (irreversible)
318,Ca binding to CamR_Ca2_AB_PP2B site C,CamR_Ca2_AB_PP2B + Ca -> CamR_Ca3_ABC_PP2B,Mass action (irreversible)
319,Ca binding to CamR_Ca2_AB_PP2B site D,CamR_Ca2_AB_PP2B + Ca -> CamR_Ca3_ABD_PP2B,Mass action (irreversible)
320,Ca binding to CamR_Ca2_AC_PP2B site B,CamR_Ca2_AC_PP2B + Ca -> CamR_Ca3_ABC_PP2B,Mass action (irreversible)
321,Ca binding to CamR_Ca2_AC_PP2B site D,CamR_Ca2_AC_PP2B + Ca -> CamR_Ca3_ACD_PP2B,Mass action (irreversible)
322,Ca binding to CamR_Ca2_AD_PP2B site B,CamR_Ca2_AD_PP2B + Ca -> CamR_Ca3_ABD_PP2B,Mass action (irreversible)
323,Ca binding to CamR_Ca2_AD_PP2B site C,CamR_Ca2_AD_PP2B + Ca -> CamR_Ca3_ACD_PP2B,Mass action (irreversible)
324,Ca binding to CamR_Ca2_BC_PP2B site A,CamR_Ca2_BC_PP2B + Ca -> CamR_Ca3_ABC_PP2B,Mass action (irreversible)
