Time	[Ca]	Values[AMPAR_bar]	Values[CaMKII_active_ratio]	Values[CaMKIIp_bar]	Values[CamCaMKII_bar]	Values[CamR_ratio]	Values[Dp_bar]	Values[PKA_bar]	Values[PP1a_bar]	Values[PP2B_bar]
0.473	4.64656e-10	0.296947	0.068299	0.0173472	0.159241	0.0479479	0.973102	0.01	0.155245	0.00300366
0.474	4.72899e-10	0.296947	0.0682975	0.0173471	0.159238	0.0479468	0.973102	0.01	0.155245	0.00300352
0.475	4.81358e-10	0.296947	0.068296	0.0173471	0.159234	0.0479458	0.973102	0.01	0.155245	0.00300339
0.476	4.87434e-10	0.296947	0.0682946	0.017347	0.159231	0.0479447	0.973102	0.01	0.155245	0.00300325
0.477	4.90093e-10	0.296947	0.0682931	0.017347	0.159227	0.0479437	0.973102	0.01	0.155245	0.00300311
0.478	4.89184e-10	0.296947	0.0682916	0.0173469	0.159224	0.0479426	0.973102	0.01	0.155245	0.00300297
0.479	4.84999e-10	0.296947	0.0682901	0.0173469	0.159221	0.0479416	0.973102	0.01	0.155245	0.00300283
0.48	4.78019e-10	0.296947	0.0682886	0.0173468	0.159217	0.0479405	0.973102	0.01	0.155245	0.00300269
0.481	4.68786e-10	0.296947	0.0682872	0.0173468	0.159214	0.0479395	0.973102	0.01	0.155245	0.00300255
0.482	4.61643e-10	0.296947	0.0682857	0.0173467	0.15921	0.0479384	0.973102	0.01	0.155245	0.00300241
0.483	4.6493e-10	0.296946	0.0682842	0.0173467	0.159207	0.0479374	0.973102	0.01	0.155245	0.00300227
0.484	4.73186e-10	0.296946	0.0682827	0.0173466	0.159203	0.0479363	0.973102	0.01	0.155245	0.00300213
0.485	4.81663e-10	0.296946	0.0682812	0.0173466	0.1592	0.0479352	0.973102	0.01	0.155245	0.00300199
0.486	4.87759e-10	0.296946	0.0682797	0.0173465	0.159196	0.0479342	0.973102	0.01	0.155245	0.00300185
0.487	4.90437e-10	0.296946	0.0682782	0.0173465	0.159193	0.0479331	0.973102	0.01	0.155245	0.00300171
0.488	4.89548e-10	0.296946	0.0682767	0.0173464	0.159189	0.047932	0.973102	0.01	0.155245	0.00300157
0.489	4.85378e-10	0.296946	0.0682752	0.0173464	0.159186	0.047931	0.973102	0.01	0.155245	0.00300142
0.49	4.78411e-10	0.296946	0.0682737	0.0173463	0.159182	0.0479299	0.973102	0.01	0.155245	0.00300128
0.491	4.69188e-10	0.296946	0.0682722	0.0173463	0.159179	0.0479288	0.973102	0.01	0.155245	0.00300114
0.492	4.62051e-10	0.296946	0.0682707	0.0173462	0.159175	0.0479278	0.973102	0.01	0.155245	0.00300099
0.493	4.65344e-10	0.296946	0.0682692	0.0173462	0.159172	0.0479267	0.973102	0.01	0.155245	0.00300085
0.494	4.73611e-10	0.296946	0.0682677	0.0173461	0.159168	0.0479256	0.973102	0.01	0.155245	0.00300071
0.495	4.82103e-10	0.296946	0.0682661	0.0173461	0.159165	0.0479246	0.973102	0.01	0.155245	0.00300056
0.496	4.88215e-10	0.296946	0.0682646	0.017346	0.159161	0.0479235	0.973102	0.01	0.155245	0.00300042
0.497	4.90911e-10	0.296946	0.0682631	0.017346	0.159158	0.0479224	0.973102	0.01	0.155244	0.00300027
0.498	4.90036e-10	0.296946	0.0682616	0.0173459	0.159154	0.0479213	0.973102	0.01	0.155244	0.00300013
0.499	4.85879e-10	0.296945	0.0682601	0.0173458	0.15915	0.0479203	0.973102	0.01	0.155244	0.00299998
0.5	4.78921e-10	0.296945	0.0682585	0.0173458	0.159147	0.0479192	0.973102	0.01	0.155244	0.00299983
0.501	4.98057e-10	0.296945	0.068257	0.0173457	0.159143	0.0479181	0.973102	0.01	0.155244	0.00299969
0.502	5.78633e-10	0.296945	0.0682555	0.0173457	0.15914	0.047917	0.973102	0.01	0.155244	0.00299954
0.503	6.93919e-10	0.296945	0.068254	0.0173456	0.159136	0.0479159	0.973102	0.01	0.155244	0.00299939
0.504	8.60443e-10	0.296945	0.0682524	0.0173456	0.159133	0.0479149	0.973102	0.01	0.155244	0.00299924
0.505	1.12468e-09	0.296945	0.0682509	0.0173455	0.159129	0.0479138	0.973102	0.01	0.155244	0.00299909
0.506	1.57782e-09	0.296945	0.0682494	0.0173454	0.159126	0.0479127	0.973102	0.01	0.155244	0.00299895
0.507	2.37706e-09	0.296945	0.0682479	0.0173454	0.159122	0.0479117	0.973102	0.01	0.155244	0.0029988
0.508	3.77812e-09	0.296945	0.0682464	0.0173453	0.159118	0.0479107	0.973102	0.01	0.155244	0.00299865
0.509	6.19081e-09	0.296945	0.0682449	0.0173453	0.159115	0.0479098	0.973102	0.01	0.155244	0.00299851
0.51	1.02706e-08	0.296945	0.0682435	0.0173452	0.159112	0.047909	0.973102	0.01	0.155244	0.00299836
0.511	1.74082e-08	0.296945	0.0682421	0.0173451	0.159109	0.0479084	0.973102	0.01	0.155244	0.00299822
0.512	3.74265e-08	0.296945	0.0682409	0.0173451	0.159106	0.0479081	0.973102	0.01	0.155244	0.00299809
0.513	3.86621e-08	0.296944	0.06824	0.017345	0.159104	0.0479088	0.973102	0.01	0.155244	0.00299798
0.514	3.44534e-08	0.296944	0.0682395	0.017345	0.159102	0.0479097	0.973102	0.01	0.155244	0.00299789
0.515	3.0868e-08	0.296944	0.0682393	0.0173449	0.159102	0.0479106	0.973102	0.01	0.155244	0.00299782
0.516	2.79801e-08	0.296944	0.0682394	0.0173448	0.159102	0.0479115	0.973102	0.01	0.155244	0.00299777
0.517	2.58362e-08	0.296944	0.0682397	0.0173448	0.159103	0.0479126	0.973102	0.01	0.155244	0.00299773
0.518	2.44225e-08	0.296944	0.0682403	0.0173447	0.159104	0.0479138	0.973102	0.01	0.155244	0.00299772
0.519	2.37034e-08	0.296944	0.0682411	0.0173447	0.159106	0.047915	0.973102	0.01	0.155244	0.00299771
0.52	2.36525e-08	0.296944	0.0682421	0.0173446	0.159109	0.0479164	0.973102	0.01	0.155244	0.00299773
0.521	2.427e-08	0.296944	0.0682433	0.0173445	0.159111	0.0479179	0.973102	0.01	0.155244	0.00299775
0.522	2.56143e-08	0.296944	0.0682447	0.0173445	0.159115	0.0479196	0.973102	0.01	0.155244	0.0029978
0.523	2.79194e-08	0.296944	0.0682464	0.0173444	0.159118	0.0479215	0.973102	0.01	0.155244	0.00299785
0.524	3.15831e-08	0.296944	0.0682482	0.0173444	0.159123	0.0479236	0.973102	0.01	0.155244	0.00299793
0.525	3.82243e-08	0.296944	0.0682503	0.0173443	0.159128	0.047926	0.973102	0.01	0.155244	0.00299802
0.526	5.39378e-08	0.296944	0.0682528	0.0173443	0.159133	0.0479289	0.973102	0.01	0.155244	0.00299814
0.527	4.76359e-08	0.296944	0.0682556	0.0173442	0.15914	0.0479327	0.973102	0.01	0.155244	0.00299829
0.528	4.09258e-08	0.296943	0.068259	0.0173441	0.159148	0.0479365	0.973102	0.01	0.155244	0.00299848
0.529	3.501e-08	0.296943	0.0682627	0.0173441	0.159157	0.0479402	0.973102	0.01	0.155244	0.0029987
0.53	2.99986e-08	0.296943	0.0682667	0.017344	0.159166	0.0479439	0.973102	0.01	0.155244	0.00299894
0.531	2.59594e-08	0.296943	0.068271	0.017344	0.159176	0.0479477	0.973102	0.01	0.155244	0.00299921
0.532	2.28574e-08	0.296943	0.0682755	0.0173439	0.159186	0.0479514	0.973102	0.01	0.155244	0.00299949
0.533	2.06866e-08	0.296943	0.0682801	0.0173439	0.159197	0.0479552	0.973102	0.01	0.155244	0.0029998
0.534	1.93761e-08	0.296943	0.0682848	0.0173438	0.159208	0.0479589	0.973102	0.01	0.155244	0.00300011
0.535	1.87929e-08	0.296943	0.0682897	0.0173438	0.15922	0.0479628	0.973102	0.01	0.155244	0.00300044
0.536	1.8826e-08	0.296943	0.0682947	0.0173437	0.159231	0.0479667	0.973102	0.01	0.155244	0.00300078
0.537	1.94202e-08	0.296943	0.0682999	0.0173437	0.159243	0.0479707	0.973102	0.01	0.155244	0.00300113
0.538	2.05831e-08	0.296943	0.0683051	0.0173436	0.159256	0.0479748	0.973102	0.01	0.155244	0.0030015
0.539	2.23891e-08	0.296943	0.0683105	0.0173436	0.159268	0.047979	0.973102	0.01	0.155243	0.00300187
0.54	2.49982e-08	0.296943	0.068316	0.0173435	0.159281	0.0479834	0.973102	0.01	0.155243	0.00300227
0.541	2.87609e-08	0.296943	0.0683217	0.0173435	0.159294	0.0479881	0.973102	0.01	0.155243	0.00300268
0.542	3.65574e-08	0.296943	0.0683276	0.0173435	0.159308	0.047993	0.973102	0.01	0.155243	0.0030031
0.543	4.93272e-08	0.296943	0.0683338	0.0173434	0.159322	0.0479984	0.973102	0.01	0.155243	0.00300356
0.544	4.22363e-08	0.296943	0.0683403	0.0173434	0.159338	0.0480046	0.973102	0.01	0.155243	0.00300405
0.545	3.6039e-08	0.296942	0.0683473	0.0173433	0.159354	0.0480105	0.973102	0.01	0.155243	0.00300458
0.546	3.05683e-08	0.296942	0.0683545	0.0173433	0.159371	0.0480165	0.973102	0.01	0.155243	0.00300514
0.547	2.60553e-08	0.296942	0.068362	0.0173433	0.159388	0.0480224	0.973102	0.01	0.155243	0.00300573
0.548	2.25372e-08	0.296942	0.0683696	0.0173432	0.159406	0.0480283	0.973102	0.01	0.155243	0.00300634
0.549	1.99046e-08	0.296942	0.0683774	0.0173432	0.159424	0.0480341	0.973102	0.01	0.155243	0.00300696
0.55	1.7998e-08	0.296942	0.0683852	0.0173432	0.159442	0.04804	0.973102	0.01	0.155243	0.0030076
0.551	1.66627e-08	0.296942	0.0683932	0.0173432	0.159461	0.0480458	0.973102	0.01	0.155243	0.00300825
0.552	1.57883e-08	0.296942	0.0684012	0.0173431	0.15948	0.0480517	0.973102	0.01	0.155243	0.00300891
0.553	1.53683e-08	0.296942	0.0684093	0.0173431	0.159499	0.0480576	0.973102	0.01	0.155243	0.00300958
0.554	1.53938e-08	0.296942	0.0684174	0.0173431	0.159518	0.0480635	0.973102	0.01	0.155243	0.00301026
0.555	1.58415e-08	0.296942	0.0684256	0.0173431	0.159537	0.0480694	0.973102	0.01	0.155243	0.00301095
0.556	1.67111e-08	0.296942	0.0684338	0.0173431	0.159556	0.0480754	0.973102	0.01	0.155243	0.00301165
0.557	1.80433e-08	0.296942	0.0684421	0.017343	0.159575	0.0480815	0.973102	0.01	0.155243	0.00301235
0.558	1.99345e-08	0.296942	0.0684505	0.017343	0.159595	0.0480877	0.973102	0.01	0.155243	0.00301307
0.559	2.25787e-08	0.296942	0.068459	0.017343	0.159615	0.0480941	0.973102	0.01	0.155243	0.00301381
0.56	2.65474e-08	0.296942	0.0684676	0.017343	0.159635	0.0481006	0.973102	0.01	0.155243	0.00301455
0.561	3.91606e-08	0.296942	0.0684764	0.017343	0.159655	0.0481074	0.973102	0.01	0.155243	0.00301532
0.562	3.88275e-08	0.296942	0.0684854	0.017343	0.159676	0.0481149	0.973102	0.01	0.155243	0.00301612
0.563	3.26222e-08	0.296942	0.0684948	0.017343	0.159698	0.0481225	0.973102	0.01	0.155243	0.00301695
0.564	2.74179e-08	0.296942	0.0685044	0.017343	0.159721	0.04813	0.973102	0.01	0.155243	0.00301782
0.565	2.31545e-08	0.296942	0.0685142	0.017343	0.159743	0.0481374	0.973102	0.01	0.155243	0.00301871
0.566	1.98847e-08	0.296942	0.0685241	0.017343	0.159766	0.0481447	0.973102	0.01	0.155243	0.00301962
0.567	1.74863e-08	0.296942	0.0685341	0.017343	0.15979	0.0481519	0.973102	0.01	0.155243	0.00302054
0.568	1.57804e-08	0.296942	0.0685441	0.017343	0.159813	0.0481592	0.973102	0.01	0.155243	0.00302148
0.569	1.45983e-08	0.296942	0.0685542	0.017343	0.159837	0.0481664	0.973102	0.01	0.155243	0.00302242
0.57	1.38056e-08	0.296942	0.0685643	0.017343	0.15986	0.0481736	0.973102	0.01	0.155242	0.00302338
0.571	1.33053e-08	0.296942	0.0685744	0.0173431	0.159884	0.0481808	0.973102	0.01	0.155242	0.00302434
0.572	1.30475e-08	0.296942	0.0685846	0.0173431	0.159908	0.048188	0.973102	0.01	0.155242	0.00302531
0.573	1.30673e-08	0.296942	0.0685948	0.0173431	0.159931	0.0481952	0.973102	0.01	0.155242	0.00302628
0.574	1.33892e-08	0.296942	0.0686049	0.0173431	0.159955	0.0482025	0.973102	0.01	0.155242	0.00302726
0.575	1.40237e-08	0.296942	0.0686151	0.0173431	0.159979	0.0482097	0.973102	0.01	0.155242	0.00302824
0.576	1.49942e-08	0.296942	0.0686253	0.0173432	0.160003	0.048217	0.973102	0.01	0.155242	0.00302924
0.577	1.63543e-08	0.296942	0.0686356	0.0173432	0.160027	0.0482244	0.973102	0.01	0.155242	0.00303024
0.578	1.82092e-08	0.296942	0.0686459	0.0173432	0.160051	0.0482319	0.973102	0.01	0.155242	0.00303125
0.579	2.08049e-08	0.296942	0.0686563	0.0173433	0.160075	0.0482394	0.973102	0.01	0.155242	0.00303227
0.58	2.66482e-08	0.296942	0.0686668	0.0173433	0.160099	0.0482472	0.973102	0.01	0.155242	0.00303331
0.581	3.59262e-08	0.296942	0.0686774	0.0173433	0.160124	0.0482553	0.973102	0.01	0.155242	0.00303437
0.582	2.92878e-08	0.296942	0.0686882	0.0173434	0.160149	0.0482639	0.973102	0.01	0.155242	0.00303546
0.583	2.43924e-08	0.296943	0.0686993	0.0173434	0.160175	0.0482722	0.973102	0.01	0.155242	0.00303658
0.584	2.0453e-08	0.296943	0.0687105	0.0173435	0.160201	0.0482805	0.973102	0.01	0.155242	0.00303772
0.585	1.74698e-08	0.296943	0.0687218	0.0173435	0.160228	0.0482887	0.973102	0.01	0.155242	0.00303888
0.586	1.53174e-08	0.296943	0.0687331	0.0173436	0.160254	0.0482968	0.973102	0.01	0.155242	0.00304005
0.587	1.38115e-08	0.296943	0.0687445	0.0173436	0.160281	0.0483048	0.973102	0.01	0.155242	0.00304123
0.588	1.27815e-08	0.296943	0.0687558	0.0173437	0.160307	0.0483129	0.973102	0.01	0.155242	0.00304241
0.589	1.20944e-08	0.296943	0.0687672	0.0173437	0.160334	0.0483209	0.973102	0.01	0.155242	0.00304361
0.59	1.16563e-08	0.296943	0.0687786	0.0173438	0.16036	0.0483289	0.973102	0.01	0.155242	0.0030448
0.591	1.14046e-08	0.296943	0.0687899	0.0173439	0.160387	0.0483368	0.973102	0.01	0.155242	0.00304601
0.592	1.13148e-08	0.296943	0.0688013	0.0173439	0.160413	0.0483448	0.973102	0.01	0.155242	0.00304721
0.593	1.14307e-08	0.296943	0.0688126	0.017344	0.16044	0.0483528	0.973102	0.01	0.155242	0.00304842
0.594	1.17781e-08	0.296943	0.0688239	0.0173441	0.160466	0.0483607	0.973102	0.01	0.155242	0.00304963
0.595	1.23677e-08	0.296943	0.0688352	0.0173441	0.160492	0.0483687	0.973102	0.01	0.155242	0.00305085
0.596	1.32176e-08	0.296943	0.0688466	0.0173442	0.160519	0.0483767	0.973102	0.01	0.155242	0.00305207
0.597	1.43672e-08	0.296944	0.0688579	0.0173443	0.160545	0.0483847	0.973102	0.01	0.155242	0.0030533
0.598	1.5897e-08	0.296944	0.0688692	0.0173444	0.160572	0.0483928	0.973102	0.01	0.155242	0.00305453
0.599	1.80137e-08	0.296944	0.0688806	0.0173445	0.160598	0.048401	0.973102	0.01	0.155242	0.00305578
0.6	2.34511e-08	0.296944	0.068892	0.0173445	0.160625	0.0484093	0.973102	0.01	0.155241	0.00305704
0.601	3.04151e-08	0.296944	0.0689036	0.0173446	0.160652	0.0484179	0.973102	0.01	0.155241	0.00305831
0.602	2.41334e-08	0.296944	0.0689153	0.0173447	0.160679	0.0484269	0.973102	0.01	0.155241	0.00305961
0.603	1.99823e-08	0.296944	0.0689272	0.0173448	0.160707	0.0484357	0.973102	0.01	0.155241	0.00306094
0.604	1.68096e-08	0.296944	0.0689392	0.0173449	0.160735	0.0484443	0.973102	0.01	0.155241	0.00306228
0.605	1.44934e-08	0.296944	0.0689512	0.017345	0.160763	0.0484529	0.973102	0.01	0.155241	0.00306363
0.606	1.28671e-08	0.296945	0.0689632	0.0173451	0.160791	0.0484614	0.973102	0.01	0.155241	0.003065
0.607	1.17529e-08	0.296945	0.0689752	0.0173452	0.160819	0.0484698	0.973102	0.01	0.155241	0.00306637
0.608	1.1004e-08	0.296945	0.0689872	0.0173453	0.160847	0.0484782	0.973102	0.01	0.155241	0.00306774
0.609	1.05131e-08	0.296945	0.0689992	0.0173455	0.160875	0.0484866	0.973102	0.01	0.155241	0.00306912
0.61	1.02076e-08	0.296945	0.0690111	0.0173456	0.160903	0.0484949	0.973102	0.01	0.155241	0.00307049
0.611	1.00404e-08	0.296945	0.069023	0.0173457	0.160931	0.0485032	0.973102	0.01	0.155241	0.00307187
0.612	9.9966e-09	0.296945	0.0690349	0.0173458	0.160958	0.0485115	0.973102	0.01	0.155241	0.00307326
0.613	1.01188e-08	0.296946	0.0690468	0.0173459	0.160986	0.0485198	0.973102	0.01	0.155241	0.00307464
0.614	1.04263e-08	0.296946	0.0690586	0.0173461	0.161014	0.0485281	0.973102	0.01	0.155241	0.00307603
0.615	1.09234e-08	0.296946	0.0690704	0.0173462	0.161041	0.0485363	0.973102	0.01	0.155241	0.00307741
0.616	1.1619e-08	0.296946	0.0690822	0.0173463	0.161069	0.0485446	0.973102	0.01	0.155241	0.00307881
0.617	1.25371e-08	0.296946	0.069094	0.0173464	0.161096	0.0485529	0.973102	0.01	0.155241	0.0030802
0.618	1.37314e-08	0.296946	0.0691058	0.0173466	0.161124	0.0485613	0.973102	0.01	0.155241	0.0030816
0.619	1.53424e-08	0.296946	0.0691176	0.0173467	0.161151	0.0485697	0.973102	0.01	0.155241	0.00308301
0.62	1.87333e-08	0.296947	0.0691294	0.0173469	0.161179	0.0485781	0.973102	0.01	0.155241	0.00308442
0.621	2.69755e-08	0.296947	0.0691413	0.017347	0.161207	0.0485868	0.973102	0.01	0.155241	0.00308585
0.622	2.09826e-08	0.296947	0.0691534	0.0173472	0.161235	0.0485959	0.973102	0.01	0.155241	0.0030873
0.623	1.72566e-08	0.296947	0.0691655	0.0173473	0.161263	0.0486047	0.973102	0.01	0.155241	0.00308877
0.624	1.45495e-08	0.296947	0.0691777	0.0173475	0.161292	0.0486134	0.973102	0.01	0.155241	0.00309026
0.625	1.26174e-08	0.296947	0.0691899	0.0173476	0.16132	0.0486221	0.973102	0.01	0.155241	0.00309175
0.626	1.12803e-08	0.296948	0.0692021	0.0173478	0.161348	0.0486306	0.973102	0.01	0.155241	0.00309325
0.627	1.03733e-08	0.296948	0.0692143	0.0173479	0.161377	0.0486391	0.973102	0.01	0.155241	0.00309475
0.628	9.76811e-09	0.296948	0.0692264	0.0173481	0.161405	0.0486476	0.973102	0.01	0.155241	0.00309626
0.629	9.3739e-09	0.296948	0.0692386	0.0173483	0.161434	0.0486561	0.973102	0.01	0.155241	0.00309777
0.63	9.13002e-09	0.296948	0.0692506	0.0173484	0.161462	0.0486645	0.973102	0.01	0.155241	0.00309927
0.631	8.99769e-09	0.296949	0.0692627	0.0173486	0.16149	0.0486728	0.973102	0.01	0.155241	0.00310078
0.632	8.96632e-09	0.296949	0.0692747	0.0173488	0.161518	0.0486812	0.973102	0.01	0.155241	0.00310229
0.633	9.07547e-09	0.296949	0.0692867	0.017349	0.161546	0.0486895	0.973102	0.01	0.155241	0.0031038
0.634	9.33796e-09	0.296949	0.0692986	0.0173491	0.161574	0.0486978	0.973102	0.01	0.155241	0.0031053
0.635	9.7525e-09	0.296949	0.0693105	0.0173493	0.161601	0.0487061	0.973102	0.01	0.155241	0.00310681
0.636	1.0321e-08	0.29695	0.0693223	0.0173495	0.161629	0.0487144	0.973102	0.01	0.155241	0.00310832
0.637	1.10571e-08	0.29695	0.0693342	0.0173497	0.161657	0.0487227	0.973102	0.01	0.155241	0.00310984
0.638	1.19967e-08	0.29695	0.069346	0.0173499	0.161684	0.048731	0.973102	0.01	0.15524	0.00311135
0.639	1.32364e-08	0.29695	0.0693578	0.0173501	0.161712	0.0487393	0.973102	0.01	0.15524	0.00311287
0.64	1.53957e-08	0.296951	0.0693696	0.0173503	0.161739	0.0487477	0.973102	0.01	0.15524	0.0031144
0.641	2.37387e-08	0.296951	0.0693815	0.0173505	0.161767	0.0487563	0.973102	0.01	0.15524	0.00311593
0.642	1.86414e-08	0.296951	0.0693935	0.0173507	0.161795	0.0487652	0.973102	0.01	0.15524	0.00311748
0.643	1.51604e-08	0.296951	0.0694055	0.0173509	0.161823	0.0487739	0.973102	0.01	0.15524	0.00311906
0.644	1.27966e-08	0.296952	0.0694176	0.0173511	0.161851	0.0487825	0.973102	0.01	0.15524	0.00312064
0.645	1.11512e-08	0.296952	0.0694297	0.0173513	0.161879	0.048791	0.973102	0.01	0.15524	0.00312223
0.646	1.00288e-08	0.296952	0.0694417	0.0173515	0.161908	0.0487994	0.973102	0.01	0.15524	0.00312382
0.647	9.27438e-09	0.296952	0.0694538	0.0173517	0.161936	0.0488078	0.973102	0.01	0.15524	0.00312541
0.648	8.77415e-09	0.296953	0.0694658	0.017352	0.161964	0.0488161	0.973102	0.01	0.15524	0.003127
0.649	8.44986e-09	0.296953	0.0694777	0.0173522	0.161992	0.0488244	0.973102	0.01	0.15524	0.0031286
0.65	8.25015e-09	0.296953	0.0694896	0.0173524	0.162019	0.0488327	0.973102	0.01	0.15524	0.00313019
0.651	8.1424e-09	0.296953	0.0695015	0.0173526	0.162047	0.0488409	0.973102	0.01	0.15524	0.00313178
0.652	8.11936e-09	0.296954	0.0695133	0.0173529	0.162075	0.0488491	0.973102	0.01	0.15524	0.00313338
0.653	8.21806e-09	0.296954	0.0695251	0.0173531	0.162102	0.0488573	0.973102	0.01	0.15524	0.00313497
0.654	8.44643e-09	0.296954	0.0695368	0.0173533	0.162129	0.0488654	0.973102	0.01	0.15524	0.00313656
0.655	8.7996e-09	0.296954	0.0695485	0.0173536	0.162157	0.0488735	0.973102	0.01	0.15524	0.00313815
0.656	9.27549e-09	0.296955	0.0695601	0.0173538	0.162184	0.0488816	0.973102	0.01	0.15524	0.00313973
0.657	9.88178e-09	0.296955	0.0695717	0.0173541	0.162211	0.0488898	0.973102	0.01	0.15524	0.00314132
0.658	1.06444e-08	0.296955	0.0695833	0.0173543	0.162238	0.0488979	0.973102	0.01	0.15524	0.00314291
0.659	1.16366e-08	0.296956	0.0695949	0.0173546	0.162265	0.048906	0.973102	0.01	0.15524	0.00314451
0.66	1.32555e-08	0.296956	0.0696065	0.0173548	0.162292	0.0489142	0.973102	0.01	0.15524	0.00314611
0.661	2.09242e-08	0.296956	0.0696181	0.0173551	0.162319	0.0489224	0.973102	0.01	0.15524	0.00314771
0.662	1.66985e-08	0.296957	0.0696297	0.0173553	0.162346	0.0489311	0.973102	0.01	0.15524	0.00314933
0.663	1.34279e-08	0.296957	0.0696414	0.0173556	0.162374	0.0489395	0.973102	0.01	0.15524	0.00315096
0.664	1.13628e-08	0.296957	0.0696532	0.0173559	0.162401	0.0489478	0.973102	0.01	0.15524	0.0031526
0.665	9.96421e-09	0.296957	0.0696649	0.0173561	0.162428	0.048956	0.973102	0.01	0.15524	0.00315425
0.666	9.02459e-09	0.296958	0.0696766	0.0173564	0.162456	0.0489642	0.973102	0.01	0.15524	0.0031559
0.667	8.39897e-09	0.296958	0.0696883	0.0173567	0.162483	0.0489723	0.973102	0.01	0.15524	0.00315755
0.668	7.98695e-09	0.296958	0.0696999	0.0173569	0.16251	0.0489803	0.973102	0.01	0.15524	0.0031592
0.669	7.72176e-09	0.296959	0.0697115	0.0173572	0.162537	0.0489884	0.973102	0.01	0.15524	0.00316085
0.67	7.56031e-09	0.296959	0.069723	0.0173575	0.162564	0.0489964	0.973102	0.01	0.15524	0.00316249
0.671	7.47545e-09	0.296959	0.0697345	0.0173578	0.162591	0.0490043	0.973102	0.01	0.15524	0.00316414
0.672	7.46298e-09	0.29696	0.0697459	0.0173581	0.162617	0.0490122	0.973102	0.01	0.15524	0.00316578
0.673	7.55852e-09	0.29696	0.0697573	0.0173583	0.162644	0.0490201	0.973102	0.01	0.15524	0.00316742
0.674	7.76694e-09	0.29696	0.0697686	0.0173586	0.16267	0.049028	0.973102	0.01	0.15524	0.00316906
0.675	8.08158e-09	0.296961	0.0697799	0.0173589	0.162697	0.0490358	0.973102	0.01	0.15524	0.0031707
0.676	8.49861e-09	0.296961	0.0697912	0.0173592	0.162723	0.0490436	0.973102	0.01	0.15524	0.00317233
0.677	9.0234e-09	0.296961	0.0698024	0.0173595	0.162749	0.0490515	0.973102	0.01	0.15524	0.00317397
0.678	9.67879e-09	0.296962	0.0698136	0.0173598	0.162775	0.0490593	0.973102	0.01	0.15524	0.0031756
0.679	1.05351e-08	0.296962	0.0698247	0.0173601	0.162801	0.0490671	0.973102	0.01	0.155241	0.00317724
0.68	1.20753e-08	0.296962	0.0698359	0.0173604	0.162827	0.049075	0.973102	0.01	0.155241	0.00317888
0.681	1.92606e-08	0.296963	0.069847	0.0173607	0.162853	0.0490829	0.973102	0.01	0.155241	0.00318053
0.682	1.4468e-08	0.296963	0.0698583	0.017361	0.16288	0.0490912	0.973102	0.01	0.155241	0.00318219
0.683	1.16595e-08	0.296964	0.0698695	0.0173614	0.162906	0.0490992	0.973102	0.01	0.155241	0.00318386
0.684	9.9436e-09	0.296964	0.0698808	0.0173617	0.162932	0.0491071	0.973102	0.01	0.155241	0.00318553
0.685	8.81664e-09	0.296964	0.069892	0.017362	0.162958	0.049115	0.973102	0.01	0.155241	0.00318721
0.686	8.0754e-09	0.296965	0.0699032	0.0173623	0.162984	0.0491227	0.973102	0.01	0.155241	0.00318889
0.687	7.58957e-09	0.296965	0.0699144	0.0173626	0.163011	0.0491305	0.973102	0.01	0.155241	0.00319057
0.688	7.27437e-09	0.296965	0.0699255	0.017363	0.163036	0.0491382	0.973102	0.01	0.155241	0.00319225
0.689	7.07564e-09	0.296966	0.0699366	0.0173633	0.163062	0.0491459	0.973102	0.01	0.155241	0.00319392
0.69	6.95933e-09	0.296966	0.0699476	0.0173636	0.163088	0.0491535	0.973102	0.01	0.155241	0.0031956
0.691	6.90432e-09	0.296967	0.0699586	0.017364	0.163114	0.0491611	0.973102	0.01	0.155241	0.00319727
0.692	6.91007e-09	0.296967	0.0699695	0.0173643	0.163139	0.0491686	0.973102	0.01	0.155241	0.00319893
0.693	7.01196e-09	0.296967	0.0699804	0.0173646	0.163165	0.0491762	0.973102	0.01	0.155241	0.0032006
0.694	7.21338e-09	0.296968	0.0699912	0.017365	0.16319	0.0491837	0.973102	0.01	0.155241	0.00320226
0.695	7.50741e-09	0.296968	0.070002	0.0173653	0.163215	0.0491911	0.973102	0.01	0.155241	0.00320392
0.696	7.89021e-09	0.296969	0.0700127	0.0173657	0.16324	0.0491986	0.973102	0.01	0.155241	0.00320558
0.697	8.36748e-09	0.296969	0.0700234	0.017366	0.163265	0.0492061	0.973102	0.01	0.155241	0.00320724
0.698	8.96436e-09	0.296969	0.0700341	0.0173664	0.16329	0.0492135	0.973102	0.01	0.155241	0.0032089
0.699	9.76678e-09	0.29697	0.0700447	0.0173667	0.163315	0.049221	0.973102	0.01	0.155241	0.00321056
0.7	1.2212e-08	0.29697	0.0700554	0.0173671	0.163339	0.0492284	0.973102	0.01	0.155241	0.00321222
0.701	1.73124e-08	0.296971	0.070066	0.0173674	0.163364	0.049236	0.973102	0.01	0.155241	0.00321388
0.702	1.21863e-08	0.296971	0.0700767	0.0173678	0.163389	0.0492439	0.973102	0.01	0.155241	0.00321556
0.703	9.98466e-09	0.296971	0.0700874	0.0173682	0.163414	0.0492514	0.973102	0.01	0.155241	0.00321725
0.704	8.64338e-09	0.296972	0.0700981	0.0173685	0.163439	0.0492589	0.973102	0.01	0.155241	0.00321894
